Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,1,178.0,15.0,620.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,145.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,2,20.0,60.0,495.0,25.0,0.0,0.0,40.0,0.0,0.0,130.0,0.0,0.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,3,38.0,100.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,4,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,5,42.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,6,270.0,67.0,190.0,705.0,110.0,0.0,197.0,0.0,0.0,0.0,0.0,15.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,7,540.0,0.0,400.0,10.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,8,25.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,9,290.0,20.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,50.0,0.0,335.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,10,259.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,138.0,114.0,0.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,11,0.0,20.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,185.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,12,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,150.0
BPUSDATARU Beng. Solo Provinsi :Jawa Tengah,Surakarta,Banjarsari,13,0.0,0.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,330.0
