Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,1,750.0,0.0,410.0,250.0,0.0,50.0,0.0,0.0,0.0,40.0,410.0,80.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,2,0.0,70.0,60.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,3,0.0,50.0,80.0,260.0,0.0,240.0,740.0,0.0,0.0,30.0,0.0,60.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,4,30.0,360.0,310.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,5,0.0,50.0,360.0,0.0,50.0,40.0,50.0,0.0,0.0,0.0,30.0,360.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,6,40.0,0.0,10.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,7,0.0,10.0,0.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,8,0.0,760.0,20.0,360.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,9,0.0,0.0,920.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,10,30.0,540.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,150.0,10.0,0.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,11,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,12,50.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,13,0.0,130.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,14,680.0,0.0,0.0,390.0,50.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,15,0.0,0.0,0.0,480.0,0.0,0.0,50.0,0.0,0.0,0.0,430.0,220.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,16,200.0,120.0,40.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,30.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,17,790.0,400.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,18,220.0,0.0,50.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,19,0.0,740.0,10.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,40.0,450.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,20,10.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,440.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,21,100.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,30.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,22,0.0,0.0,460.0,0.0,0.0,10.0,0.0,0.0,90.0,10.0,0.0,160.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,23,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,0.0,40.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,24,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,25,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,26,120.0,0.0,0.0,120.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,27,100.0,130.0,710.0,40.0,0.0,0.0,0.0,0.0,290.0,30.0,60.0,190.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,20.0,0.0,380.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,29,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,140.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,30,0.0,0.0,50.0,660.0,240.0,0.0,0.0,0.0,0.0,0.0,120.0,610.0
Bd. Nambo Provinsi : Jawa Tengah,Brebes,Banjarharjo,31,160.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,180.0
Malahayu Provinsi : Jawa Tengah,Brebes,Banjarharjo,1,550.0,10.0,150.0,40.0,50.0,450.0,0.0,0.0,0.0,30.0,420.0,230.0
