Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,1,90.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,220.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,2,0.0,0.0,40.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,280.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,3,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,4,0.0,150.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,120.0,0.0,20.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,5,0.0,20.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,6,0.0,60.0,60.0,140.0,0.0,120.0,60.0,0.0,0.0,0.0,440.0,200.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,7,100.0,0.0,70.0,60.0,0.0,0.0,180.0,0.0,0.0,40.0,980.0,0.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,8,20.0,0.0,720.0,0.0,60.0,50.0,0.0,0.0,0.0,20.0,20.0,0.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,9,0.0,50.0,0.0,160.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,10,30.0,50.0,30.0,0.0,0.0,80.0,0.0,0.0,0.0,170.0,240.0,270.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,11,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,80.0,0.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,12,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,13,40.0,20.0,60.0,760.0,0.0,0.0,0.0,0.0,0.0,170.0,550.0,0.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,14,0.0,120.0,70.0,0.0,0.0,0.0,20.0,180.0,0.0,120.0,0.0,0.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,15,0.0,0.0,40.0,0.0,190.0,0.0,0.0,0.0,0.0,770.0,0.0,420.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,16,0.0,50.0,190.0,0.0,0.0,0.0,110.0,20.0,0.0,280.0,210.0,560.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,17,0.0,210.0,0.0,0.0,0.0,120.0,100.0,0.0,0.0,0.0,0.0,450.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,18,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,140.0,120.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,19,0.0,220.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,170.0,0.0,50.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,20,70.0,0.0,600.0,190.0,110.0,0.0,0.0,0.0,0.0,50.0,0.0,110.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,21,140.0,0.0,630.0,300.0,60.0,320.0,0.0,0.0,0.0,30.0,0.0,0.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,40.0,40.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,23,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,24,0.0,0.0,50.0,0.0,0.0,40.0,0.0,0.0,20.0,350.0,0.0,60.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,25,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,40.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,26,0.0,0.0,0.0,120.0,240.0,400.0,0.0,0.0,0.0,50.0,0.0,0.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,27,0.0,140.0,30.0,0.0,120.0,60.0,0.0,0.0,0.0,0.0,0.0,250.0
Greneng Provinsi :Jawa Tengah,Blora,Banyurejo,28,0.0,120.0,420.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,310.0,50.0
Banjar Provinsi :Jawa Tengah,Blora,0,1,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,430.0
Banjar Provinsi :Jawa Tengah,Blora,0,2,0.0,420.0,230.0,650.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,3,0.0,0.0,240.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,4,0.0,0.0,190.0,960.0,0.0,50.0,0.0,0.0,0.0,70.0,0.0,140.0
Banjar Provinsi :Jawa Tengah,Blora,0,5,70.0,0.0,0.0,900.0,620.0,0.0,150.0,0.0,0.0,0.0,350.0,170.0
Banjar Provinsi :Jawa Tengah,Blora,0,6,220.0,0.0,0.0,80.0,0.0,30.0,90.0,0.0,0.0,90.0,0.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,7,0.0,0.0,540.0,0.0,340.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,8,180.0,300.0,0.0,350.0,0.0,20.0,0.0,150.0,0.0,170.0,0.0,20.0
Banjar Provinsi :Jawa Tengah,Blora,0,9,0.0,0.0,350.0,0.0,270.0,0.0,0.0,0.0,0.0,40.0,610.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,10,280.0,150.0,570.0,980.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,11,630.0,100.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,12,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,120.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,13,0.0,530.0,460.0,1080.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,14,0.0,0.0,150.0,0.0,0.0,120.0,170.0,0.0,0.0,630.0,0.0,160.0
Banjar Provinsi :Jawa Tengah,Blora,0,15,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,230.0
Banjar Provinsi :Jawa Tengah,Blora,0,16,0.0,540.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,100.0,110.0
Banjar Provinsi :Jawa Tengah,Blora,0,17,0.0,560.0,0.0,320.0,430.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,18,440.0,830.0,340.0,780.0,260.0,0.0,0.0,0.0,0.0,470.0,0.0,120.0
Banjar Provinsi :Jawa Tengah,Blora,0,19,0.0,0.0,420.0,1290.0,320.0,0.0,0.0,0.0,0.0,180.0,0.0,410.0
Banjar Provinsi :Jawa Tengah,Blora,0,20,480.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,21,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,260.0
Banjar Provinsi :Jawa Tengah,Blora,0,22,0.0,0.0,270.0,380.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0
Banjar Provinsi :Jawa Tengah,Blora,0,23,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,120.0
Banjar Provinsi :Jawa Tengah,Blora,0,24,0.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,25,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,26,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0
Banjar Provinsi :Jawa Tengah,Blora,0,27,500.0,430.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,330.0,0.0
Banjar Provinsi :Jawa Tengah,Blora,0,28,0.0,260.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0
Blora Provinsi :Jawa Tengah,Blora,-,1,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,220.0,320.0
Blora Provinsi :Jawa Tengah,Blora,-,2,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,100.0
Blora Provinsi :Jawa Tengah,Blora,-,3,30.0,170.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,120.0,280.0
Blora Provinsi :Jawa Tengah,Blora,-,4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,140.0
Blora Provinsi :Jawa Tengah,Blora,-,5,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,80.0
