Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,1,20.0,5.0,5.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,2,200.0,890.0,215.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,3,0.0,0.0,80.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,100.0,640.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,4,100.0,0.0,0.0,40.0,35.0,45.0,20.0,0.0,0.0,0.0,240.0,350.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,5,230.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,6,370.0,0.0,70.0,0.0,15.0,0.0,505.0,0.0,0.0,0.0,0.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,7,35.0,25.0,0.0,200.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,330.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,8,0.0,10.0,15.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,9,10.0,5.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,10,0.0,355.0,40.0,540.0,0.0,0.0,70.0,0.0,0.0,20.0,230.0,180.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,11,0.0,25.0,0.0,25.0,0.0,5.0,15.0,0.0,0.0,0.0,40.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,12,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,13,0.0,360.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,55.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,14,5.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,15,250.0,140.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,16,40.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,50.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,17,70.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,18,225.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,19,0.0,320.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,20,0.0,480.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,21,0.0,50.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,22,5.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,23,40.0,100.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,510.0,40.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,25,0.0,25.0,0.0,250.0,0.0,770.0,0.0,0.0,0.0,0.0,0.0,230.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,26,65.0,80.0,35.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,27,0.0,200.0,280.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,28,0.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,29,0.0,0.0,80.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,30,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
Pucanggading Provinsi :Jawa Tengah,Semarang,Pedurungan,31,325.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,1,8.0,27.0,48.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,367.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,2,16.0,298.0,67.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,436.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,3,16.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,127.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,4,7.0,10.0,0.0,258.0,189.0,72.0,0.0,0.0,0.0,0.0,67.0,254.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,5,37.0,0.0,0.0,146.0,347.0,18.0,0.0,0.0,0.0,0.0,0.0,104.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,6,25.0,236.0,14.0,0.0,156.0,0.0,98.0,0.0,0.0,0.0,0.0,92.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,7,206.0,10.0,27.0,503.0,0.0,14.0,57.0,0.0,0.0,0.0,0.0,104.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,8,19.0,28.0,44.0,344.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,58.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,9,32.0,23.0,10.0,158.0,0.0,398.0,0.0,0.0,0.0,0.0,36.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,10,0.0,128.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,294.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,11,0.0,0.0,0.0,14.0,112.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,12,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,13,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,14,38.0,108.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,172.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,15,64.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,16,0.0,33.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,17,168.0,88.0,163.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,18,38.0,326.0,124.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,19,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,20,27.0,494.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,21,96.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,134.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,22,224.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,23,222.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,104.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,24,194.0,41.0,98.0,384.0,0.0,0.0,0.0,0.0,0.0,203.0,48.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,25,19.0,14.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,123.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,26,37.0,188.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,63.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,27,0.0,58.0,141.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,28,16.0,28.0,348.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,324.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,29,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,27.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,30,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Wirosari Patean Provinsi :Jawa Tengah,Kendal,Patean,31,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,78.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,1,0.0,35.0,420.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,2,380.0,435.0,115.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,3,0.0,0.0,25.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,250.0,230.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,4,280.0,70.0,205.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,470.0,310.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,5,230.0,0.0,210.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,6,670.0,120.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,7,185.0,25.0,80.0,0.0,195.0,30.0,0.0,20.0,0.0,0.0,0.0,70.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,8,0.0,15.0,140.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,9,80.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,10,0.0,425.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,650.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,11,0.0,15.0,0.0,0.0,355.0,0.0,130.0,0.0,0.0,0.0,60.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,12,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,13,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,70.0,60.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,14,0.0,245.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,15,120.0,835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,16,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,55.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,17,50.0,150.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,18,150.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,19,0.0,630.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,20,0.0,305.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,21,0.0,25.0,0.0,70.0,0.0,0.0,0.0,15.0,0.0,0.0,240.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,22,145.0,55.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,23,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,24,0.0,0.0,0.0,905.0,0.0,0.0,0.0,0.0,0.0,140.0,135.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,25,35.0,25.0,20.0,15.0,0.0,30.0,0.0,0.0,0.0,10.0,0.0,240.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,26,35.0,55.0,35.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,27,0.0,105.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,28,0.0,0.0,280.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,29,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,515.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,30,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banyumeneng Provinsi :Jawa Tengah,Demak,Mranggen,31,830.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,1,170.0,230.0,430.0,730.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,2,0.0,1760.0,250.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,3,290.0,0.0,0.0,0.0,2070.0,0.0,0.0,0.0,0.0,0.0,490.0,160.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,4,240.0,0.0,370.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,420.0,2290.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,5,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,6,760.0,750.0,0.0,0.0,430.0,0.0,390.0,0.0,0.0,0.0,0.0,170.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,7,0.0,0.0,0.0,0.0,210.0,200.0,170.0,0.0,0.0,0.0,0.0,240.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,8,230.0,170.0,240.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,9,360.0,0.0,170.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,130.0,160.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,10,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,160.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,11,0.0,230.0,220.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,12,190.0,0.0,0.0,230.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,13,340.0,190.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,14,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,15,370.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,17,220.0,360.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,18,170.0,430.0,0.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,19,390.0,260.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,20,170.0,170.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,21,240.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,22,1070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,23,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,24,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,140.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,25,230.0,240.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,230.0,170.0,2100.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,26,0.0,540.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,27,0.0,150.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,28,0.0,270.0,730.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,29,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
Tempuran - Banyuringin Provinsi :Jawa Tengah,Kendal,Singorojo,31,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0
Susukan Provinsi :Jawa Tengah,Semarang,Ungaran Timur,1,300.0,260.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0
Susukan Provinsi :Jawa Tengah,Semarang,Ungaran Timur,2,260.0,400.0,310.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Susukan Provinsi :Jawa Tengah,Semarang,Ungaran Timur,3,120.0,460.0,160.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,20.0,175.0
Susukan Provinsi :Jawa Tengah,Semarang,Ungaran Timur,4,560.0,0.0,130.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,390.0,315.0
Susukan Provinsi :Jawa Tengah,Semarang,Ungaran Timur,5,300.0,0.0,400.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0
Susukan Provinsi :Jawa Tengah,Semarang,Ungaran Timur,6,240.0,0.0,560.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,50.0
Susukan Provinsi :Jawa Tengah,Semarang,Ungaran Timur,7,300.0,410.0,0.0,550.0,100.0,20.0,10.0,0.0,0.0,20.0,0.0,40.0
