Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,1,40.0,420.0,1183.0,228.0,638.0,0.0,0.0,0.0,0.0,0.0,0.0,845.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,2,75.0,178.0,2648.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,3,120.0,0.0,0.0,175.0,1845.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,4,875.0,60.0,247.0,0.0,928.0,0.0,0.0,0.0,0.0,0.0,35.0,1728.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,5,1380.0,0.0,43.0,480.0,635.0,30.0,0.0,0.0,0.0,0.0,0.0,270.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,6,85.0,40.0,0.0,0.0,426.0,0.0,284.0,0.0,0.0,0.0,0.0,1465.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,7,120.0,325.0,120.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,8,68.0,645.0,725.0,245.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,9,115.0,430.0,40.0,47.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,10,0.0,1745.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,11,0.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,12,0.0,225.0,0.0,175.0,370.0,685.0,0.0,0.0,0.0,0.0,45.0,0.0
Badran (Otm) Provinsi :Jawa Tengah,Temanggung,Kranggan,13,0.0,0.0,675.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,38.0,0.0
