Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,1,106.0,7.9,24.0,3.3,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,2,73.0,5.5,0.0,2.1,0.0,0.0,0.0,0.0,0.0,13.0,19.0,14.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,3,24.0,3.5,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,4,9.0,81.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,5,15.4,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,6,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,7,18.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,118.0,0.0,0.0,33.7
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,8,25.4,6.0,3.8,26.8,24.4,0.0,0.0,0.0,3.1,0.0,0.0,12.5
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,9,4.7,0.0,88.0,58.0,6.5,0.0,0.0,0.0,0.0,4.0,0.0,2.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,10,2.0,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,40.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,11,28.0,0.0,3.5,5.5,0.0,17.5,0.0,0.0,0.0,0.0,48.0,24.9
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,12,0.0,13.6,0.0,2.0,0.0,4.4,0.0,0.0,1.0,0.0,0.0,2.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,13,0.0,3.2,1.5,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,14,0.0,0.0,12.0,5.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,15,0.0,14.5,1.5,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,16,0.0,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,17,7.2,4.8,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,21.7
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,18,31.0,9.8,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,19,3.4,2.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,47.5
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,20,2.3,0.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,3.1,22.3,0.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,21,1.0,38.5,1.0,42.3,0.0,0.0,0.0,0.0,0.0,21.5,9.0,5.2
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,22,1.3,0.0,25.5,98.5,0.0,0.0,0.0,0.0,0.0,0.0,8.3,115.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,23,0.0,0.0,0.0,2.0,54.0,0.0,0.0,0.0,24.8,0.0,6.3,1.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,24,10.2,0.0,75.0,22.0,56.3,0.0,0.0,0.0,0.0,0.0,47.2,21.5
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,25,0.0,115.0,1.5,3.0,0.0,2.0,0.0,0.0,5.5,0.0,0.0,24.2
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,26,4.5,25.0,14.1,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,27,10.4,2.0,0.0,7.8,0.0,25.3,0.0,0.0,19.0,0.0,0.0,0.0
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,28,27.3,11.8,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8
BPSDA Bengawan Solo Provinsi : Jawa Tengah,Surakarta,Banjarsari,29,1.0,2.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,1,15.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,2,19.0,53.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,3,0.0,0.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,4,42.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,5,41.0,25.0,26.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,6,11.0,5.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,7,8.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,8,1.8,10.0,12.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,9,31.0,25.0,30.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,20.0,0.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,10,40.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,20.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,11,15.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,12,0.0,12.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,14,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,25.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,15,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,16,0.0,55.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,17,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,18,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,19,25.0,22.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,20,20.0,95.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,21,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,22,25.0,0.0,19.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,23,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,30.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,24,40.0,30.0,0.0,42.0,20.0,0.0,20.0,0.0,8.0,0.0,0.0,40.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,25,30.0,71.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,26,30.0,100.0,15.0,40.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,15.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,27,40.0,80.0,25.0,7.0,0.0,0.0,0.0,0.0,15.0,0.0,30.0,15.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,28,47.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,25.0
Deles Provinsi : Jawa Tengah,Klaten,Kemalang,29,46.0,13.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0
Gisik Provinsi : Jawa Tengah,Boyolali,Banyudono,1,15.2,11.2,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6
Gisik Provinsi : Jawa Tengah,Boyolali,Banyudono,2,17.3,17.5,22.6,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2
Gisik Provinsi : Jawa Tengah,Boyolali,Banyudono,3,49.1,14.6,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,8.2
Gisik Provinsi : Jawa Tengah,Boyolali,Banyudono,4,28.7,19.2,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0
Gisik Provinsi : Jawa Tengah,Boyolali,Banyudono,5,29.3,2.7,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,7.1
Gisik Provinsi : Jawa Tengah,Boyolali,Banyudono,6,14.8,17.1,11.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,23.2,12.9
Gisik Provinsi : Jawa Tengah,Boyolali,Banyudono,7,13.6,11.2,13.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
Gisik Provinsi : Jawa Tengah,Boyolali,Banyudono,8,20.9,9.7,8.2,2.7,0.0,0.0,0.0,0.0,0.0,0.0,40.8,0.0
Gisik Provinsi : Jawa Tengah,Boyolali,Banyudono,9,17.3,14.2,6.3,5.6,9.2,0.0,0.0,0.0,19.6,0.0,12.2,0.0
Gisik Provinsi : Jawa Tengah,Boyolali,Banyudono,10,9.8,18.7,17.2,6.2,3.1,0.0,0.0,0.0,16.2,0.0,9.4,6.3
